Mode,Start_Time,Animal,Weight,Unit
solo,2026-06-26 06:46:11.578631,0,0
1,2026-06-26 06:46:11.373920,121836132,21.205,1
2,2026-06-26 06:46:27.898587,12186133157,0,2
2,2026-06-26 06:46:48.606310,12186133157,0,1
OPEN,2026-06-26 06:47:28.609229,0,0
1,2026-06-26 06:47:44.346072,121859271,0,2
1,2026-06-26 06:47:44.346072,121859271,26.025,2
1,2026-06-26 06:47:57.488704,121859271,0,1
solo,2026-06-26 06:47:57.692350,0,0
1,2026-06-26 06:47:57.488704,121859271,23.59,1
OPEN,2026-06-26 06:48:37.693197,0,0
1,2026-06-26 06:54:01.613183,1218496122,0,2
1,2026-06-26 06:54:01.613183,1218496122,26.125,2
999,2026-06-26 06:54:09.519607,1102000232,999,1
1,2026-06-26 06:54:09.525071,1218496122,0,1
solo,2026-06-26 06:54:09.729002,0,0
1,2026-06-26 06:54:09.525071,1218496122,23.305,1
OPEN,2026-06-26 06:54:49.729703,0,0
1,2026-06-26 06:55:14.926999,12186133157,0,1
1,2026-06-26 06:55:14.926999,12186133157,22.79,1
1,2026-06-26 06:55:22.952753,12186133157,0,2
solo,2026-06-26 06:55:23.157312,0,0
2,2026-06-26 06:55:25.589534,12186133157,0,2
2,2026-06-26 06:55:25.589534,12186133157,26.6,2
OPEN,2026-06-26 06:56:05.592348,0,0
1,2026-06-26 07:03:59.620879,12186133157,0,2
1,2026-06-26 07:03:59.620879,12186133157,25.505000000000003,2
1,2026-06-26 07:04:11.547044,12186133157,0,1
solo,2026-06-26 07:04:11.750869,0,0
1,2026-06-26 07:04:11.547044,12186133157,23.52,1
OPEN,2026-06-26 07:04:51.751605,0,0
1,2026-06-26 07:14:05.071145,12186133157,0,1
1,2026-06-26 07:14:05.071145,12186133157,22.405,1
1,2026-06-26 07:14:24.068915,12186133157,0,2
solo,2026-06-26 07:14:24.272841,0,0
1,2026-06-26 07:14:24.068915,12186133157,26.88,2
OPEN,2026-06-26 07:15:04.273657,0,0
1,2026-06-26 07:29:54.110721,12186133157,0,2
1,2026-06-26 07:29:54.110721,12186133157,26.22,2
1,2026-06-26 07:30:23.860790,12186133157,0,1
solo,2026-06-26 07:30:24.065083,0,0
1,2026-06-26 07:30:23.860790,12186133157,23.090000000000003,1
OPEN,2026-06-26 07:31:04.065901,0,0
1,2026-06-26 07:43:54.656674,121839170,0,1
1,2026-06-26 07:43:54.656674,121839170,23.24,1
1,2026-06-26 07:44:02.988135,121839170,0,2
solo,2026-06-26 07:44:03.192423,0,0
1,2026-06-26 07:44:02.988135,121839170,27.68,2
OPEN,2026-06-26 07:44:43.193206,0,0
1,2026-06-26 07:51:52.932038,121839170,0,2
1,2026-06-26 07:51:52.932038,121839170,25.795,2
1,2026-06-26 07:52:05.801167,121839170,0,1
solo,2026-06-26 07:52:06.004760,0,0
1,2026-06-26 07:52:05.801167,121839170,22.725,1
OPEN,2026-06-26 07:52:46.005481,0,0
1,2026-06-26 07:53:21.804191,121839170,0,1
1,2026-06-26 07:53:21.804191,121839170,22.945,1
2,2026-06-26 07:53:35.638763,121839170,0,1
OPEN,2026-06-26 07:55:08.324850,0,0
1,2026-06-26 08:58:19.191206,121859271,0,1
1,2026-06-26 08:58:19.191206,121859271,23.21,1
1,2026-06-26 08:58:25.779250,121859271,0,2
solo,2026-06-26 08:58:25.982913,0,0
1,2026-06-26 08:58:25.779250,121859271,26.73,2
OPEN,2026-06-26 08:59:05.983734,0,0
1,2026-06-26 08:59:30.326297,121836132,0,1
1,2026-06-26 08:59:30.326297,121836132,21.3,1
1,2026-06-26 08:59:38.947009,121836132,0,2
solo,2026-06-26 08:59:39.150996,0,0
1,2026-06-26 08:59:38.947009,121836132,23.92,2
999,2026-06-26 08:59:43.234130,1102000232,999,2
2,2026-06-26 08:59:43.238764,121836132,0,2
OPEN,2026-06-26 09:00:23.240819,0,0
1,2026-06-26 09:06:09.546918,121859271,0,2
1,2026-06-26 09:06:09.546918,121859271,26.16,2
1,2026-06-26 09:06:19.455481,121859271,0,1
solo,2026-06-26 09:06:19.658645,0,0
1,2026-06-26 09:06:19.455481,121859271,22.685,1
2,2026-06-26 09:06:26.996951,121836132,0,2
2,2026-06-26 09:06:31.381657,121836132,0,1
OPEN,2026-06-26 09:07:11.383920,0,0
1,2026-06-26 10:04:08.810700,1218496122,0,1
1,2026-06-26 10:04:08.810700,1218496122,22.355,1
1,2026-06-26 10:04:15.066432,1218496122,0,2
solo,2026-06-26 10:04:15.271101,0,0
1,2026-06-26 10:04:15.066432,1218496122,25.515,2
OPEN,2026-06-26 10:04:55.271729,0,0
1,2026-06-26 10:13:20.437286,1218496122,0,2
1,2026-06-26 10:13:20.437286,1218496122,25.4,2
1,2026-06-26 10:13:28.157038,1218496122,0,1
solo,2026-06-26 10:13:28.360990,0,0
1,2026-06-26 10:13:28.157038,1218496122,22.715,1
OPEN,2026-06-26 10:14:08.361636,0,0
1,2026-06-26 10:21:18.443030,1218496122,0,1
1,2026-06-26 10:21:18.443030,1218496122,23.25,1
1,2026-06-26 10:21:32.222615,1218496122,0,2
solo,2026-06-26 10:21:32.427658,0,0
1,2026-06-26 10:21:32.222615,1218496122,26.005000000000003,2
2,2026-06-26 10:21:36.584570,1218496122,0,2
OPEN,2026-06-26 10:22:16.587275,0,0
initialize,2026-06-26 10:23:53.068880,0,-0.71,5
initialize,2026-06-26 10:23:53.270232,0,1.82,5
initialize,2026-06-26 10:26:15.911269,0,-0.46,5
initialize,2026-06-26 10:26:16.112961,0,1.86,5
0,2026-06-26 10:26:57.178695,12186133157,24.3,5
0,2026-06-26 10:27:39.160799,1218496122,24.2,5
0,2026-06-26 10:29:01.134992,121859271,24.0,5
initialize,2026-06-26 10:29:57.204973,0,0.3,5
initialize,2026-06-26 10:29:57.407243,0,1.87,5
0,2026-06-26 10:30:03.459488,121839170,23.6,5
0,2026-06-26 10:30:45.761167,121836132,22.1,5
initialize,2026-06-26 10:32:16.622423,0,-0.07,1
initialize,2026-06-26 10:32:16.824921,0,0.0,2
OPEN,2026-06-26 10:32:24.055697,0,0
1,2026-06-26 10:37:46.773786,121836132,0,1
1,2026-06-26 10:37:46.773786,121836132,21.2,1
1,2026-06-26 10:37:56.326403,121836132,0,2
solo,2026-06-26 10:37:56.530961,0,0
2,2026-06-26 10:37:59.361063,121836132,0,2
2,2026-06-26 10:37:59.361063,121836132,21.6,2
3,2026-06-26 10:38:01.063492,121836132,0,2
4,2026-06-26 10:38:03.010137,121836132,0,2
5,2026-06-26 10:38:05.014853,121836132,0,2
6,2026-06-26 10:38:06.907708,121836132,0,2
7,2026-06-26 10:38:12.230441,121836132,0,2
8,2026-06-26 10:38:14.490237,121836132,0,2
9,2026-06-26 10:38:16.410608,121836132,0,2
10,2026-06-26 10:38:17.694984,121836132,0,2
11,2026-06-26 10:38:19.984429,121836132,0,2
12,2026-06-26 10:38:23.379941,121836132,0,2
13,2026-06-26 10:38:25.523123,121836132,0,2
999,2026-06-26 10:38:27.234715,1102000232,999,2
14,2026-06-26 10:38:27.239479,121836132,0,2
15,2026-06-26 10:38:29.077825,121836132,0,2
16,2026-06-26 10:38:33.199850,121836132,0,2
17,2026-06-26 10:38:35.551422,121836132,0,2
18,2026-06-26 10:38:37.953411,121836132,0,2
19,2026-06-26 10:38:40.566943,121836132,0,2
20,2026-06-26 10:38:41.851047,121836132,0,2
21,2026-06-26 10:38:43.688882,121836132,0,2
22,2026-06-26 10:38:45.266596,121836132,0,2
23,2026-06-26 10:38:52.180116,121836132,0,2
OPEN,2026-06-26 10:39:32.183033,0,0
1,2026-06-26 10:42:03.183171,1218496122,0,1
1,2026-06-26 10:42:03.183171,1218496122,18.369999999999997,1
1,2026-06-26 10:42:10.486610,1218496122,0,2
solo,2026-06-26 10:42:10.690538,0,0
1,2026-06-26 10:42:10.486610,1218496122,0,2
2,2026-06-26 10:42:17.491756,1218496122,0,2
OPEN,2026-06-26 10:42:57.494709,0,0
1,2026-06-26 10:43:20.768687,121836132,0,2
1,2026-06-26 10:43:20.768687,121836132,22.74,2
OPEN,2026-06-26 10:44:00.769348,0,0
1,2026-06-26 10:44:29.834078,121836132,0,2
1,2026-06-26 10:44:29.834078,121836132,21.71,2
OPEN,2026-06-26 10:45:09.834854,0,0
1,2026-06-26 10:45:12.391505,121859271,0,1
1,2026-06-26 10:45:12.391505,121859271,22.04,1
1,2026-06-26 10:45:17.848261,121836132,0,2
start Lindzey,2026-06-26 10:45:18.053357,0,0
1,2026-06-26 10:45:17.848261,121836132,22.445,2
2,2026-06-26 10:45:28.801674,121859271,0,2
End Lindzey,2026-06-26 10:45:58.803834,0,0
OPEN,2026-06-26 10:46:08.804319,0,0
1,2026-06-26 10:46:50.717957,1218496122,0,2
1,2026-06-26 10:46:50.717957,1218496122,24.814999999999998,2
OPEN,2026-06-26 10:47:30.718531,0,0
1,2026-06-26 10:47:32.162529,121836132,0,2
1,2026-06-26 10:47:32.162529,121836132,21.94,2
OPEN,2026-06-26 10:48:12.163181,0,0
1,2026-06-26 10:50:12.458524,121859271,0,2
1,2026-06-26 10:50:12.458524,121859271,23.325,2
2,2026-06-26 10:50:35.634551,121859271,0,2
OPEN,2026-06-26 10:50:52.459123,0,0
999,2026-06-26 10:51:17.598302,1102000232,999,2
1,2026-06-26 10:51:17.603735,121836132,0,2
1,2026-06-26 10:51:17.603735,121836132,21.990000000000002,2
OPEN,2026-06-26 10:51:57.604381,0,0
1,2026-06-26 10:51:57.748176,121836132,0,2
1,2026-06-26 10:51:57.748176,121836132,21.8,2
OPEN,2026-06-26 10:52:37.748767,0,0
